"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Administrativní a podpůrné činnosti,10761.200000000000,Banány žluté,27.30463999999995
2006,Administrativní a podpůrné činnosti,10761.200000000000,Cukr krystalový,21.72661333333326
2006,Administrativní a podpůrné činnosti,10761.200000000000,Eidamská cihla,110.946653333333
2006,Administrativní a podpůrné činnosti,10761.200000000000,Hovězí maso zadní bez kosti,166.33739999999722
2006,Administrativní a podpůrné činnosti,10761.200000000000,Chléb konzumní kmínový,16.12363999999995
2006,Administrativní a podpůrné činnosti,10761.200000000000,Jablka konzumní,30.714546666666443
2006,Administrativní a podpůrné činnosti,10761.200000000000,Jogurt bílý netučný,5.829359999999934
2006,Administrativní a podpůrné činnosti,10761.200000000000,Kapr živý,69.34977777777769
2006,Administrativní a podpůrné činnosti,10761.200000000000,Konzumní brambory,12.074919999999965
2006,Administrativní a podpůrné činnosti,10761.200000000000,Kuřata kuchaná celá,47.47375999999997
2006,Administrativní a podpůrné činnosti,10761.200000000000,Máslo,104.38782666666711
2006,Administrativní a podpůrné činnosti,10761.200000000000,Mléko polotučné pasterované,14.43784000000001
2006,Administrativní a podpůrné činnosti,10761.200000000000,Mrkev,14.409266666666625
2006,Administrativní a podpůrné činnosti,10761.200000000000,Papriky,35.31015999999994
2006,Administrativní a podpůrné činnosti,10761.200000000000,Pečivo pšeničné bílé,38.59642666666671
2006,Administrativní a podpůrné činnosti,10761.200000000000,"Pivo výčepní, světlé, lahvové",8.449613333333405
2006,Administrativní a podpůrné činnosti,10761.200000000000,Pomeranče,24.733173333333248
2006,Administrativní a podpůrné činnosti,10761.200000000000,Přírodní minerální voda uhličitá,7.687920000000014
2006,Administrativní a podpůrné činnosti,10761.200000000000,Pšeničná mouka hladká,7.407573333333347
2006,Administrativní a podpůrné činnosti,10761.200000000000,Rajská jablka červená kulatá,57.82961333333336
2006,Administrativní a podpůrné činnosti,10761.200000000000,Rostlinný roztíratelný tuk,69.45211999999951
2006,Administrativní a podpůrné činnosti,10761.200000000000,Rýže loupaná dlouhozrnná,21.289666666666722
2006,Administrativní a podpůrné činnosti,10761.200000000000,Šunkový salám,116.77441333333299
2006,Administrativní a podpůrné činnosti,10761.200000000000,Těstoviny vaječné,26.095533333333133
2006,Administrativní a podpůrné činnosti,10761.200000000000,Vejce slepičí čerstvá,23.49484000000021
2006,Administrativní a podpůrné činnosti,10761.200000000000,Vepřová pečeně s kostí,105.17778666666607
2006,Činnosti v oblasti nemovitostí,14049.400000000000,Banány žluté,27.304639999999914
